Ki tervezte a következö épületet Magyar Nemzeti Múzeum?;Steinell Imre;Schulek Frigyes;Ybl Miklós;Pollack Mihály;4
Ki tervezte a következö épületet Várkertbazár?;Ybl Miklós;Steinell Imre;Stróbl Alajos;Pollack Mihály;1
Mikor született Kisfaludy Sándor?;1877;1759;1817;1772;4
Hol halt meg Berzsenyi Dániel?;Budapest;Sümeg;Fogaras;Nikla;4
Hol halt meg Kisfaludy Sándor?;Széphalom;Fogaras;Budapest;Sümeg;4
Hol halt meg Kaffka Margit?;Nikla;Sümeg;Budapest;Fogaras;3
Hol született Kazinczi Ferenc?;Komárom;Szekszárd;Érsemlyén;Bonyha;3
Hol született Arva Bethlen Kata?;Nyíregyháza;Érsemlyén;Bonyha;Nagyszabuta;3
Mikor halt meg Babits Mihály ?;ükörke;1941;márki;üröm;2
Melyik Király uralkodásának kezdete 1000 ?;I. István;III. István;II. Mátyás;II. László ellenkirály;1
Melyik Király uralkodásának kezdete 1074 ?;I. József;I. Géza;III. Károly;IV. Béla;2
Melyik Király uralkodásának kezdete 1116 ?;II. István;Szapolyai János;Könyves Kálmán;II. Géza;1
Melyik Király uralkodásának kezdete 1172 ?;II. József;IV. László;III. Béla;III. András;3
Melyik Király uralkodásának kezdete 1290 ?;Mária;Péter;III. András;Aba Sámuel;3
Melyik Király uralkodásának kezdete 1385 ?;II. Béla;II. Károly;Szapolyai János;I. Ferdinánd;2
Melyik Király uralkodásának kezdete 1438 ?;V. László;Salamon;I. András;Albert;4
Melyik Király uralkodásának kezdete 1608 ?;II. Mátyás;I. Béla;I. Ulászló;Péter;1
Melyik Király uralkodásának kezdete 1619 ?;I. Lajos;II. Ferdinánd;II. Károly;Aba Sámuel;2
Melyik Király uralkodásának kezdete 1790 ?;I. András;I. Béla;II. Lipót;I. Ulászló;3
Melyik Király uralkodásának kezdete 1848 ?;II. József;III. András;Mária Terézia;I. Ferenc József;4
Melyik uralkodóház tagja volt I. Géza ?;Arpád;Habsburg;Jagelló;Szaplyai;1
Melyik uralkodóház tagja volt I. László ?;Luxemburgi;Habsburg;Hunyadi;Arpád;4
Melyik uralkodóház tagja volt III. Béla ?;Arpád;Habsburg;Bajor;Cseh;1
Melyik uralkodóház tagja volt IV. Béla ?;Arpád;Cseh;Szaplyai;Habsburg;1
Melyik uralkodóház tagja volt Mária ?;Cseh;Habsburg;Arpád;Anjou;4
Melyik uralkodóház tagja volt II. Károly ?;Arpád;Habsburg;Szaplyai;Durazzói;4
Melyik uralkodóház tagja volt Szapolyai János ?;Habsburg;Bajor;Cseh;Szaplyai;4
Melyik uralkodóház tagja volt II. Mátyás ?;Habsburg;Arpád;Anjou;Bajor;1
Melyik uralkodóház tagja volt IV. Ferdinánd ?;Luxemburgi;Habsburg;Arpád;Durazzói;2
Melyik uralkodóház tagja volt I. Lipót ?;Cseh;Habsburg;Arpád;Anjou;2
Melyik uralkodóház tagja volt V. ferdinánd ?;Arpád;Anjou;Bajor;Habsburg;4
Melyik uralkodóház tagja volt I. Ferenc József ?;Szaplyai;Habsburg;Cseh;Arpád;2
Mettöl uralkodott Péter?;1062;1088;1038;1063;3
Mettöl uralkodott I. László?;1088;1077;1090;1113;2
Mettöl uralkodott II. István?;1148;1125;1116;1123;3
Mettöl uralkodott II. Béla?;1136;1137;1162;1131;4
Mettöl uralkodott IV. Béla?;1248;1235;1274;1273;2
Mettöl uralkodott V. István?;1305;1282;1270;1307;3
Mettöl uralkodott Vencel?;1331;1301;1333;1306;2
Mettöl uralkodott Ottó?;1308;1331;1304;1333;3
Mettöl uralkodott II. Károly?;1385;1406;1431;1405;1
Mettöl uralkodott II. Ulászló?;1525;1498;1499;1490;4
Mettöl uralkodott Szapolyai János?;1526;1557;1530;1532;1
Mettöl uralkodott I. Rudolf?;1577;1600;1625;1576;4
Mettöl uralkodott IV. Ferdinánd?;1688;1690;1663;1647;4
Mettöl uralkodott I. József?;1717;1744;1743;1705;4
Mettöl uralkodott I. Ferenc József?;1873;1898;1871;1848;4
Melyik filmet rendezte Georges Méliés?;Nikita;A Dreyfus-ügy;A legyek ura;Az asszony illata;2
Melyik filmet rendezte Georges Méliés?;Tozsdecápák;Jóságos szívek és diadémok;Utazás a Holdba;Dolgozó lány;3
Melyik filmet rendezte André Calmette?;Guise herceg meggyilkolása;Az év asszonya;Dühöngo bika;Atlagember;1
Melyik filmet rendezte Mack Sennett?;Idobanditák;Carmen;Kohn, a bevándorló;A gyanú árnyékában;3
Melyik filmet rendezte Albert Capellani?;Nosferatu, az éjszaka vámpírja;A Kína-szindróma;Nyomorultak;Hófehérke és a hét törpe;3
Melyik filmet rendezte Robert Wiene?;Szállnak a darvak;Oriás;Farkasokkal táncoló;Dr. Caligari;4
Melyik filmet rendezte Svend Gade?;Szent Johanna;Hamlet;A postás mindig kétszer csenget;Szörnyecskék;2
Melyik filmet rendezte Allan Dwan?;Forró éjszakában;Robin Hood;Madame Dubarry;Funny Girl;2
Melyik filmet rendezte Raoul Walsh?;A bagdadi tolvaj;Egy nap New Yorkban;Tozsdecápák;Metró;1
Melyik filmet rendezte Szergej Eizenstein?;Dr. Caligari;Jelenetek egy házasságból;Halál Velencében;Patyomkin páncélos;4
Melyik filmet rendezte Charles Chaplin?;Aranyláz;A kém, aki a hidegbol jött;Szigorúan ellenorzött vonatok;A züllés útján;1
Melyik filmet rendezte Luis Bunuel?;A Kína-szindróma;A szarvasvadász;Azandalúziai kutya;A berlini olimpia;3
Melyik filmet rendezte Carl Theodor Dreyer?;A kék angyal;A nagy balhé;Jeanne d' Arc;Gyalog-galopp;3
Melyik filmet rendezte James Whale?;Frankeistein;A légy;Stromboli;Indiana Jones és a végzet temploma;1
Melyik filmet rendezte George Fitzmaurice?;Hair;Mata Hari;39 lépcsofok;Szombat esti láz;2
Melyik filmet rendezte Merian C. Cooper?;King Kong;A kéz, amely a bölcsot ringatja;A hét mesterlövész;Psycho;1
Melyik filmet rendezte Korda Sándor?;VIII. Henrik magánélete;A Jedi visszatér;Monsieur Verdoux;Sierra Madre kincse;1
Melyik filmet rendezte Frank Lloyd?;Vadászat a Vörör Októberre;A Bounty lázadói;A rettegés foka;Tavaly Marlenbadban;2
Melyik filmet rendezte John Ford?;A soha vissza nem térés folyója;Ikrek;A besúgó;Leningrad Cowboys menni Amerika;3
Melyik filmet rendezte Szergej Eizenstein?;Csupasz pisztoly 33 1/3-Az utolsó merény;A jégmezok lovagja;Egy nemzet születése;Furcsa pár;2
Melyik filmet rendezte Victor Fleming?;A magam útját járom;Elfújta a szél;E. T.;Rambo;2
Melyik filmet rendezte Charles Chaplin?;Papírhold;Madame Dubarry;A lovakat lelövik, ugye?;A diktátor;4
Melyik filmet rendezte Walt Disney?;A rakparton;Tozsdecápák;Délido;Pinocchio;4
Melyik filmet rendezte John Huston?;Monsieur Verdoux;Szellemirtók;Biciklitolvajok;A máltai sólyom;4
Melyik filmet rendezte Veit Harlan?;Rocco és fivérei;A nagy király;Lánglovagok;Az édes élet;2
Melyik filmet rendezte Sam Wood?;Végtelen történet;A gyilkosok;Akiért a harang szól;A szép és a szörnyeteg;3
Melyik filmet rendezte Howard Hawks?;Martinique;Összeomlás;Isten nem ver Bobbal;A legyek ura;1
Melyik filmet rendezte Marcel Carné?;Stromboli;Kémek, mint mi;Szerelmek városa;A légy;3
Melyik filmet rendezte Howart Hawks?;Mata Hari;Metropolis;A nagy álom;Az elnök emberei;3
Melyik filmet rendezte Tay Garnett?;Broncho Billy és a bébi;A postás mindig kétszer csenget;A Pelikán-ügyirat;Egy férfi és egy no;2
Melyik filmet rendezte David Zucker?;Híd a Kwai folyón;Csupasz pisztoly;Vörös zsaru;A soha vissza nem térés folyója;2
Melyik filmet rendezte Luc Besson?;A nagy kékség;Az elveszett frigyláda fosztogatói;A jégmezok lovagja;Philadelphiai történet;1
Melyik filmet rendezte Joe Johnson?;Az urak a szokéket szeretik;Vádlottak;Esoember;Drágám, a kölykök összementek;4
Melyik filmet rendezte Amy Heckerling?;Szörnyecskék;Nicsak, ki beszél?;Távol Afrikától;Szent Johanna;2
Melyik filmet rendezte Garry Marshall?;Micsoda no!;A Pelikán-ügyirat;Zorba, a görög;Nem félünk a farkastól;1
Melyik filmet rendezte Jonathan Demme?;A bárányok hallgatnak;Quo vadis?;Jó reggelt, Vietnam!;Egy nap New Yorkban;1
Melyik filmet rendezte Paul Verhoeven?;Jelenetek egy házasságból;Zorro jele;Az emlékmás;Nju;3
Melyik filmet rendezte Jean-Paul Rappeneau?;Cyrano de Bergerac;Z., avagy egy politikai gyilkosság anató;Napok romjai;Angyalka;1
Melyik filmet rendezte Martin Scorsese?;A Kína-szindróma;A rettegés foka;Jezabel;A szarvasvadász;2
Melyik filmet rendezte Ron Howard?;Lánglovagok;Száll a kakukk fészkére;A nagy balhé;A kis cézár;1
Melyik filmet rendezte Paul Verhoeven?;Elemi ösztön;Indiana Jones és a végzet temploma;Kereszttuz;Stromboli;1
Melyik filmet rendezte Harold Ramis?;Felhokarcoló szerelem;Pokoli torony;Metropolis;Idétlen idokig;4
Melyik filmet rendezte Adrian Lyne?;Arábiai Lawrence;Tisztességtelen ajánlat;Sok huhó semmiért;Egy nehéz nap éjszakája;2
Melyik filmet rendezte Steven Spielberg?;Aranytó;Flashdance;Róma nyílt város;Schindler listája;4
