What is the only food that cannot go bad?;Dark chocolate;Peanut butter;Canned tuna;Honey;4
What is the most visited tourist attraction in the world?;Eiffel Tower;Statue of Liberty;Great Wall of China;Colosseum;1
What’s the name of Hagrid’s pet spider?;Nigini;Crookshanks;Aragog;Mosag;3
What’s the heaviest organ in the human body?;Brain;Liver;Skin;Heart;2
Which of these EU countries does not use the euro as its currency?;Poland;Denmark;Sweden;All of the above;4
Which US city is the sunniest major city and sees more than 320 sunny days each year?;Phoenix;Miami;San Francisco;Austin;1;Phoenix sees more than 320 sunny days each year.
What type of food holds the world record for being the most stolen around the globe?;Wagyu beef;Cheese;Coffee;Chocolate;2;It’s estimated that as much as 4% of the cheese produced around the world is stolen.
What element does the chemical symbol Au stand for?;Silver;Magnesium;Salt;Gold;4
On average, how many seeds are located on the outside of a strawberry?;100;200;400;500;2
Which fast food restaurant has the largest number of retail locations in the world?;Jack In The Box;Chipotle;Subway;McDonald’s;3
Where is recognized as the location of the hottest temperature ever recorded on Earth?;Mitribah, Kuwait;Death Valley, California;Yuma, Arizona;Key West, Florida;2
Which pop star burnt down her home gym with candles?;Kim Kardashian;Lady Gaga;Zendaya;Britney Spears;4
Which country’s national animal is a unicorn?;Scotland;Denmark;New Zealand;France;1
What is the main ingredient in a falafel?;Lentil;Chickpea;Broccoli;Split pea;2
What color dresses do Chinese women traditionally wear on their wedding day?;Blue;Gold;White;Red;4
What sport has been played on the moon?;Frisbee;Soccer;Golf;Bocce ball;3
Mycology is the scientific study of what?;Cancer cells;Flowers;Fungi;Blood;3
Which sea creature has three hearts?;Shark;Jellyfish;Stingray;Octopus;4
What is Rick’s last name in “Rick and Morty”?;Sanchez;Smith;Guetterman;Noopers;1

