Szam,Kerdes,V1,V2,V3,Kep,HelyesValasz
1,Mit értünk hajón a Szabályzat I. része alapján? Hajó,"a nagyhajó, a kishajó, a vízi sporteszköz és az úszómű.","a belvízi hajó, beleértve a kishajót és kompot, továbbá a tengeri hajó és az úszómunkagép.",minden vízijármű és úszómunkagép.,,2
2,Folytassa a meghatározást! Géphajó az a saját,"gépi berendezéssel rendelkező hajót, amely önálló mozgásra alkalmas.","gépi berendezést is működtető hajót, kivéve azokat, amelyeknél a motort csak a műveletképesség növelésére használják.","gépi berendezéssel hajtott hajó, kivéve azokat a hajókat, amelyeknél a motort csak korlátozott mértékű helyváltoztatásra, illetve azok vontatásakor vagy tolásakor a műveletképesség növelésére használják.",,3
3,Mit értünk vitorlás hajón? Vitorlás hajó,a vitorlával/vitorlákkal felszerelt hajó.,a vitorlát/vitorlákat is használó hajó.,a csak vitorlával/vitorlákkal haladó hajó.,,3
4,Minek minősül a vitorla mellett saját gépi hajtóberendezését is használó hajó?,Géphajónak.,Vitorlás hajónak.,Segédmotoros vitorlásnak.,teszt-1235.jpg,1
5,"Kishajónak minősül-e az a 20 méternél kisebb hosszúságú hajó, amelyen 12 főnél több utas szállítását engedélyezte a hajózási hatóság?",Nem.,Igen.,"Sem a hossznak, sem a befogadóképességnek nincs jelentősége, a hajó üzembe helyezésekor a hajózási hatóság dönt a minősítésről.",xxx-1659.jpg,1
6,Mit értünk úszómunkagépen a Szabályzat I. része alapján?,"Hajóúton, illetve kikötőkben való munkavégzésre szolgáló úszólétesítmény.","Gépi meghajtó berendezéssel nem rendelkező víziutakon, illetve kikötőkben való munkavégzésre szolgáló úszólétesítmény.","Gépi berendezéssel ellátott víziutakon, illetve kikötőkben való munkavégzésre szolgáló úszólétesítmény.",teszt-0073.jpg,3
7,Mit értünk gyorsjáratú hajón a Szabályzat I. része alapján?,Minden hordszárnyas és a légpárnás hajót.,"Minden olyan géphajót, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.","Minden olyan géphajót a kishajó kivételével, amely a vízfelszínhez képest 40 km/órát meghaladó sebességre képes.",teszt-1396.jpg,3
8,Válassza ki az úszómű fogalmát a Szabályzat I. része alapján!,"Helyváltoztatásra szolgáló úszó létesítmény (pl. fürdőhajó, úszódokk, kikötőponton, csónakház).","Rendeltetésszerűen helyhez kötött úszó létesítmény, mint például fürdőhajó, úszódokk, kikötőponton, csónakház.","Helyváltoztatásra alkalmatlan úszó létesítmény (pl.: fürdőhajó, csónakház).",teszt-1408.jpg,2
9,Folytassa a meghatározást a Szabályzat I. része alapján! Úszó testek köteléke,a géphajó és a mellévett alakzatban továbbított komp együttese és a vízijármű.,"a géphajó és az általa tolt, vontatott, illetve mellévett alakzatban továbbított hajók összessége.","a tutaj, továbbá helyváltoztatásra szolgáló és hajónak vagy úszóműnek nem tekinthető egyéb létesítmény, kötelék vagy tárgy.",,3
10,Egy gépi hajtású kishajó minősülhet-e gyorsjáratú hajónak?,"Igen akkor, ha a vízfelszínhez viszonyított sebessége meghaladja a 40 km/órát.","Nem, a gépi hajtási kishajó függetlenül a vízfelszínhez viszonyított sebességétől nem minősül gyorsjáratú hajónak.","Igen, de csak abban az esetben, ha a vízfelszínhez viszonyított sebessége meghaladja az 50 km/órát.",,2
